"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"11 Com","b","11 Com b","Radial Velocity",2007,326.03,1.29,0.231,6165.6,12.1,19.1,NA,NA,1,93.37,4.74,"K0 III",4742,2.31,2.243,2.7,19,-0.35,"[Fe/H]",NA
"11 UMi","b","11 UMi b","Radial Velocity",2009,516.21997,1.53,0.08,4684.8142,12.3,13.8,NA,NA,1,125.72,5.016,"K4 III",4213,1.93,2.43,2.78,29.79,-0.02,"[Fe/H]",1.56
"14 And","b","14 And b","Radial Velocity",2008,185.84,0.83,0,1525.5,12.9,3.9,NA,NA,1,75.59,5.227,"G8 III",4813,2.63,1.763,2.2,11,-0.24,"[Fe/H]",4.5
"14 Her","b","14 Her b","Radial Velocity",2002,1773.40002,2.93,0.37,1481.0878,12.9,3.79,NA,NA,1,17.94,6.61,"K0 V",5338,4.45,-0.151,0.9,0.93,0.41,"[Fe/H]",5.24
"16 Cyg B","b","16 Cyg B b","Radial Velocity",1996,798.5,1.66,0.68,565.7374,13.5,1.26,NA,NA,3,21.41,6.25,"G2.5 V",5750,4.36,0.1,1.08,1.13,0.06,"[Fe/H]",7.4
"18 Del","b","18 Del b","Radial Velocity",2008,993.3,2.6,0.08,3273.5,12.5,9.21,NA,NA,1,76.38,5.506,"G6 III",4979,2.82,1.602,2.3,8.5,-0.052,"[Fe/H]",1.1
"1RXS J160929.1-210524","b","1RXS J160929.1-210524 b","Imaging",2008,NA,330,NA,3000,18.647,2.54,1700,NA,1,145,12.057,"K7 V",4060,NA,-0.37,0.85,1.18,NA,"",0.005
"24 Boo","b","24 Boo b","Radial Velocity",2018,30.3506,0.19,0.042,289.2253,13.9,0.592,NA,NA,1,96.25,5.58,"G3 IV",4893,2.42,1.774,0.99,10.64,-0.77,"[Fe/H]",6.92
"24 Sex","b","24 Sex b","Radial Velocity",2010,452.8,1.333,0.09,632.46,13.4,1.44,NA,NA,1,72.21,6.441,"K0 IV",5098,3.5,1.164,1.54,4.9,-0.03,"[Fe/H]",2.7
"24 Sex","c","24 Sex c","Radial Velocity",2010,883,2.08,0.29,273.32,13.9,0.559,NA,NA,1,72.21,6.441,"K0 IV",5098,3.5,1.164,1.54,4.9,-0.03,"[Fe/H]",2.7
