Date,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Humidity,Min_Humidity,Min_Wind_Speed,Max_Wind_Speed,Avg_Precipitation,,,,,,,,,,,
1/1/2017,39,28,18,92,39,13,0,0,,,,,,,,,,,
1/2/2017,39,34,28,97,68,9,4,0.12,,,,,,,,,,,
1/3/2017,39,29,19,100,64,21,0,0,,,,,,,,,,,
1/4/2017,19,13,7,73,47,25,10,0,,,,,,,,,,,
1/5/2017,13,8,3,69,53,20,7,0,,,,,,,,,,,
1/6/2017,9,5,0,75,49,16,6,0,,,,,,,,,,,
1/7/2017,18,9,0,79,43,22,5,0,,,,,,,,,,,
1/8/2017,19,11,2,75,37,21,0,0,,,,,,,,,,,
1/9/2017,33,26,18,84,49,22,9,0.02,,,,,,,,,,,
1/10/2017,51,38,25,89,68,40,10,0.2,,,,,,,,,,,
1/11/2017,43,34,25,100,70,22,5,0.33,,,,,,,,,,,
1/12/2017,28,24,19,96,57,17,8,0.05,,,,,,,,,,,
1/13/2017,27,22,16,88,56,15,4,0,,,,,,,,,,,
1/14/2017,35,28,21,75,52,9,0,0,,,,,,,,,,,
1/15/2017,36,28,20,84,38,7,0,0,,,,,,,,,,,
1/16/2017,37,34,30,100,78,12,0,0.9,,,,,,,,,,,
1/17/2017,39,37,35,100,92,16,4,0.48,,,,,,,,,,,
1/18/2017,36,33,30,100,82,16,4,0,,,,,,,,,,,
1/19/2017,42,36,30,100,79,12,4,0.46,,,,,,,,,,,
1/20/2017,43,41,38,100,92,13,0,0.18,,,,,,,,,,,
1/21/2017,59,50,40,100,62,20,0,0,,,,,,,,,,,
1/22/2017,46,42,38,100,76,14,0,0.01,,,,,,,,,,,
1/23/2017,42,39,36,100,76,16,5,0,,,,,,,,,,,
1/24/2017,38,36,34,92,82,15,0,0,,,,,,,,,,,
1/25/2017,42,38,34,100,85,22,6,0.09,,,,,,,,,,,
1/26/2017,34,32,30,96,69,22,10,0,,,,,,,,,,,
1/27/2017,31,28,24,81,63,22,8,0,,,,,,,,,,,
1/28/2017,29,27,24,81,63,20,8,0,,,,,,,,,,,
1/29/2017,28,25,21,68,53,22,6,0,,,,,,,,,,,
1/30/2017,37,26,15,75,42,23,5,0.01,,,,,,,,,,,
1/31/2017,39,37,35,92,59,25,9,0.03,,,,,,,,,,,
2/1/2017,38,30,21,92,38,23,6,0,,,,,,,,,,,
2/2/2017,24,19,14,67,44,22,7,0,,,,,,,,,,,
2/3/2017,28,21,14,67,31,20,5,0,,,,,,,,,,,
2/4/2017,33,22,10,80,33,23,5,0,,,,,,,,,,,
2/5/2017,38,31,24,81,45,18,0,0,,,,,,,,,,,
2/6/2017,55,38,21,100,55,15,0,0,,,,,,,,,,,
2/7/2017,50,41,32,100,82,25,0,0.47,,,,,,,,,,,
2/8/2017,32,26,19,78,58,20,7,0,,,,,,,,,,,
2/9/2017,25,19,13,67,39,21,6,0,,,,,,,,,,,
2/10/2017,41,30,18,76,56,26,6,0,,,,,,,,,,,
2/11/2017,49,42,34,96,61,16,0,0,,,,,,,,,,,
2/12/2017,47,39,31,89,27,36,7,0,,,,,,,,,,,
2/13/2017,44,35,25,81,38,20,6,0,,,,,,,,,,,
2/14/2017,50,41,31,78,42,25,5,0,,,,,,,,,,,
2/15/2017,35,31,26,61,39,21,4,0,,,,,,,,,,,
2/16/2017,41,36,30,69,34,16,4,0,,,,,,,,,,,
2/17/2017,67,47,27,85,34,20,0,0,,,,,,,,,,,
2/18/2017,70,55,40,70,26,15,0,0,,,,,,,,,,,
2/19/2017,69,52,35,85,24,13,0,0,,,,,,,,,,,
2/20/2017,70,56,41,92,44,23,0,0,,,,,,,,,,,
2/21/2017,66,58,49,93,60,18,0,0.04,,,,,,,,,,,
2/22/2017,68,59,50,96,58,22,5,0,,,,,,,,,,,
2/23/2017,59,49,38,92,66,23,5,0.21,,,,,,,,,,,
2/24/2017,40,37,33,92,82,24,4,0.15,,,,,,,,,,,
2/25/2017,33,28,23,82,55,24,8,0,,,,,,,,,,,
2/26/2017,49,35,21,81,31,30,5,0,,,,,,,,,,,
2/27/2017,54,41,27,81,45,16,0,0,,,,,,,,,,,
2/28/2017,60,54,47,93,71,25,0,0.65,,,,,,,,,,,
3/1/2017,54,43,32,100,69,13,4,0.12,,,,,,,,,,,
3/2/2017,35,31,27,72,43,17,0,0,,,,,,,,,,,
3/3/2017,33,27,21,58,31,16,5,0,,,,,,,,,,,
