FL_DATE,CARRIER,CARRIER_NAME,FL_NUM,ORIGIN_AIRPORT,ORIGIN_CITY_NAME,DEST_AIRPORT,DEST_CITY_NAME,DEP_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2017,EV,Atlantic Southeast Airlines,4110,Chicago O'Hare International,"Chicago, IL",South Bend International,"South Bend, IN",1604,1741,0,,18,84,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4127,Chicago O'Hare International,"Chicago, IL",St Louis Lambert International,"St. Louis, MO",1230,1346,0,,47,258,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4140,Chicago O'Hare International,"Chicago, IL",Bill and Hillary Clinton Nat Adams Field,"Little Rock, AR",855,1056,0,,95,552,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4148,Chicago O'Hare International,"Chicago, IL",Kansas City International,"Kansas City, MO",854,1026,0,,71,403,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4151,Chicago O'Hare International,"Chicago, IL",Theodore Francis Green State,"Providence, RI",1822,2129,0,,105,849,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4158,Chicago O'Hare International,"Chicago, IL",Quad City International,"Moline, IL",1601,1653,0,,33,139,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4179,Chicago O'Hare International,"Chicago, IL",Northwest Arkansas Regional,"Fayetteville, AR",916,1108,0,,83,522,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4204,Chicago O'Hare International,"Chicago, IL",Piedmont Triad International,"Greensboro/High Point, NC",1755,2040,0,,89,589,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4210,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",1554,1806,0,,90,588,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4219,Chicago O'Hare International,"Chicago, IL",Tulsa International,"Tulsa, OK",1913,2106,0,,93,585,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4235,Chicago O'Hare International,"Chicago, IL",Roanoke Blacksburg Regional Woodrum Field,"Roanoke, VA",1034,1305,0,,74,531,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4250,Chicago O'Hare International,"Chicago, IL",Lovell Field,"Chattanooga, TN",1345,1632,0,,80,501,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4278,Chicago O'Hare International,"Chicago, IL",Appleton International,"Appleton, WI",1542,1630,0,,31,160,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4281,Chicago O'Hare International,"Chicago, IL",Tulsa International,"Tulsa, OK",931,1128,0,,95,585,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4282,Chicago O'Hare International,"Chicago, IL",Burlington International,"Burlington, VT",1340,1645,0,,103,763,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4290,Chicago O'Hare International,"Chicago, IL",Birmingham-Shuttlesworth International,"Birmingham, AL",1630,1820,0,,92,584,30,0,0,0,0
1/1/2017,EV,Atlantic Southeast Airlines,4300,Chicago O'Hare International,"Chicago, IL",Hector International,"Fargo, ND",1908,2103,0,,84,557,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4316,Chicago O'Hare International,"Chicago, IL",Lovell Field,"Chattanooga, TN",1910,2205,0,,84,501,0,0,16,0,0
1/1/2017,EV,Atlantic Southeast Airlines,4354,Chicago O'Hare International,"Chicago, IL",Wichita Dwight D Eisenhower National,"Wichita, KS",1920,2125,0,,97,588,,,,,
1/1/2017,EV,Atlantic Southeast Airlines,4367,Chicago O'Hare International,"Chicago, IL",Evansville Regional,"Evansville, IN",1343,1451,0,,50,272,,,,,
1/1/2017,NK,Spirit Air Lines,219,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",1455,1814,0,,87,606,0,0,29,0,0
1/1/2017,NK,Spirit Air Lines,223,Chicago O'Hare International,"Chicago, IL",Southwest Florida International,"Fort Myers, FL",1553,1947,0,,156,1120,,,,,
1/1/2017,NK,Spirit Air Lines,224,Chicago O'Hare International,"Chicago, IL",LaGuardia,"New York, NY",538,840,0,,96,733,,,,,
1/1/2017,NK,Spirit Air Lines,245,Chicago O'Hare International,"Chicago, IL",McCarran International,"Las Vegas, NV",1507,1650,0,,200,1514,,,,,
1/1/2017,NK,Spirit Air Lines,295,Chicago O'Hare International,"Chicago, IL",George Bush Intercontinental/Houston,"Houston, TX",2200,37,0,,139,925,0,0,115,0,0
